Local time: +3:00 UTC
ProcessId: 5820
(13500) 11:48:12.724  d: System runned under native Windows
(13500) 11:48:12.725  m: Starting in normal mode
(13500) 11:48:12.725  m: Executing "default.cfg"
(13500) 11:48:12.725  m: setvar app_always_active = "0"
(13500) 11:48:12.726  m: setvar bloomEnable = "1"
(13500) 11:48:12.726  m: setvar gfx_fullscreen = "1"
(13500) 11:48:12.726  m: setvar gfx_refreshrate = "0"
(13500) 11:48:12.727  d: Could not parse screen resolution settings, using defaults
(13500) 11:48:12.729  m: setvar gfx_resolution = "1920x1080"
(13500) 11:48:12.729  m: setvar gfx_vsync = "1"
(13500) 11:48:12.729  m: setvar grass_fade_distance = "100"
(13500) 11:48:12.729  m: setvar language = "ru-RU"
(13500) 11:48:12.729  m: setvar pfx_enable = "1"
(13500) 11:48:12.729  m: setvar pfx_sharp_enable = "1"
(13500) 11:48:12.729  m: setvar shadows = "1"
(13500) 11:48:12.729  m: setvar shadow_terrain = "1"
(13500) 11:48:12.729  m: setvar shadowPCF4_enable = "1"
(13500) 11:48:12.729  m: setvar waterrefl = "1"
(13500) 11:48:12.730  m: Executing "user.cfg"
(13500) 11:48:12.730  m: setvar app_always_active = "0"
(13500) 11:48:12.730  m: setvar bloomEnable = "1"
(13500) 11:48:12.730  m: setvar camera_link_to_hero = "-1"
(13500) 11:48:12.730  m: setvar camera_pitch = "58.75"
(13500) 11:48:12.730  m: setvar camera_rod = "70"
(13500) 11:48:12.730  m: setvar casual_control_style = "1"
(13500) 11:48:12.730  m: setvar common_graphics_quality = "1"
(13500) 11:48:12.730  m: setvar common_volume = "1"
(13500) 11:48:12.730  m: setvar console_limit = "100"
(13500) 11:48:12.730  m: setvar console_opacity = "0.4"
(13500) 11:48:12.730  m: setvar console_peep = "0"
(13500) 11:48:12.730  m: setvar console_size = "0.5"
(13500) 11:48:12.731  m: setvar console_sweep_time = "0.25"
(13500) 11:48:12.731  m: setvar current_pet = "-1"
(13500) 11:48:12.731  m: setvar enableRESZ = "0"
(13500) 11:48:12.731  m: setvar enable_cursor_clip = "1"
(13500) 11:48:12.731  m: setvar enable_replay = "1"
(13500) 11:48:12.731  m: setvar gfx_fullscreen = "1"
(13500) 11:48:12.731  m: setvar gfx_refreshrate = "0"
(13500) 11:48:12.731  m: setvar gfx_resolution = "1920x1080"
(13500) 11:48:12.731  m: setvar gfx_scale3D = "1"
(13500) 11:48:12.731  m: setvar gfx_skip_mip_levels = "0"
(13500) 11:48:12.731  m: setvar gfx_vsync = "1"
(13500) 11:48:12.731  m: setvar grass_fade_distance = "100"
(13500) 11:48:12.731  m: setvar grass_fade_length = "100"
(13500) 11:48:12.731  m: setvar last_map = ""
(13500) 11:48:12.731  m: setvar lock_actionbar = "0"
(13500) 11:48:12.731  m: setvar lock_camera = "0"
(13500) 11:48:12.731  m: setvar minimap_rotate = "0"
(13500) 11:48:12.731  m: setvar music_volume = "0"
(13500) 11:48:12.731  m: setvar pfx_enable = "1"
(13500) 11:48:12.731  m: setvar pfx_read_enable = "1"
(13500) 11:48:12.731  m: setvar pfx_sharp_enable = "1"
(13500) 11:48:12.731  m: setvar register_replay_extention = "1"
(13500) 11:48:12.731  m: setvar rndr_disableTriLinear = "0"
